[13:55:03.974] ❌ 连接失败，重试中...
[13:55:07.164] ❌ 连接失败，重试中...
[13:55:10.341] ❌ 连接失败，重试中...
[13:55:13.540] ❌ 连接失败，重试中...
[13:56:50.374] ❌ 连接失败，重试中...
[13:56:53.643] ❌ 连接失败，重试中...
[13:56:54.749] ✅ 连接成功，开始接收数据
[13:56:57.276] [ECG_V1] Sensor task started
[13:56:57.276] [SENSOR] before MAX30003_Init
[13:56:57.277] [MAX30003] Initializing...
[13:56:57.277] [MAX30003_INIT] step=cs
[13:56:57.307] [MAX30003_INIT] step=sw_reset
[13:56:57.307] [MAX30003_INIT] step=status1
[13:56:57.308] [MAX30003_INIT] step=status2
[13:56:57.308] [MAX30003_INIT] step=info1
[13:56:57.308] step=info2
[13:56:57.308] [MAX30003_INIT] step=info3
[13:56:57.322] [MAX3000
[13:56:57.322] [MAX30003_INIT] step=cnfg_ecg
[13:56:57.323] [MAX30003][OK] CNFG_ECG = 0x025000
[13:56:57.323] [MAX30003_INIT] step=cnfg_gen
[13:56:57.324] [MAX30003][OK] CNFG_GEN = 0x081217
[13:56:57.430] [MAX30003][OK] CNFG_CAL = 0x000000
[13:56:57.430] [MAX30003][OK] CNFG_EMUX = 0x000000
[13:56:57.431] [MAX30003_INIT] step=mngr_dyn_skip
[13:56:57.432] [MAX30003_INIT] step=pll_wait
[13:56:57.432] [MAX30003_INIT] step=en_int
[13:56:57.433] [MAX30003][OK] EN_INT = 0x000002
[13:56:57.433] [MAX30003_INIT] step=mngr_int
[13:56:57.433] [MAX30003][OK] MNGR_INT = 0x200000
[13:56:57.446] [MAX30003] Init done. STATUS=0x000100
[13:56:57.446] [SENSOR] after MAX30003_Init
[13:56:57.447] [SENSOR] after MAX30003_INIT_DONE log
[13:56:57.509] [SDDBG] new log opened path=0:/log_001.txt
[13:56:57.510] [MS_SD] mount begin file=0:/ecg_001.csv
[13:56:57.510] [MS_SD] mount ok
[13:56:57.511] [MS_SD] open begin file=0:/ecg_001.csv
[13:56:57.511] [MS_SD] open ok
[13:56:57.511] [MS_SD] header ok bw=41
[13:56:57.511] [MS_SD] first sync res=0
[13:56:57.525] [MS_SD] file opened and released
[13:56:57.526] [REC] record start file_opened=1 tick=3285
[13:56:57.527] [REC] before MAX30003_StartStream tick=3285
[13:56:57.602] [MAX30003_INIT] step=fifo_synch
[13:56:57.602] [MAX30003] StartStream status1=0x000100 status2=0x000100 status3=0x000100
[13:56:59.472] [REC] after MAX30003_StartStream tick=3286 start_tick=3211
[13:56:59.473] [MIC] open ok file=0:/mic_001.wav
[13:56:59.473] [MIC] dma_start ret=0 words=16384 bytes=65536
[13:57:01.230] [MIC] write halves=8 bytes=65536 raw=00000000..00fffffb pcm=0..255 drops=0
[13:57:02.973] [MIC] write halves=16 bytes=131072 raw=00000000..00fffffd pcm=0..255 drops=0
[13:57:04.731] [MIC] write halves=24 bytes=196608 raw=00000001..00ffffff pcm=0..255 drops=0
[13:57:06.472] [MIC] write halves=32 bytes=262144 raw=00000001..00fffffa pcm=0..255 drops=0
[13:57:07.457] [MIC] write halves=40 bytes=327680 raw=00000001..00fffffe pcm=0..255 drops=0
[13:57:07.458] [ECG_AUTO_STOP] t=13211
[13:57:07.458] [MAX30003] StopStream done. STATUS=0x100109
[13:57:07.462] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.690] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.691] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.691] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.692] [REC_STOP]
[13:57:07.721] [MS_SD] close final_sync=0 close=0 bytes=151211 ecg_written=5065
[13:57:07.726] [MIC] close seek=0 write=0 bw=44 sync=0 close=0 bytes=376832 halves=46 drops=0
[13:57:07.754] [DUMP_REQ]
[13:57:07.768] [DATA_FILE_BEGIN]
[13:57:07.800] timestamp_ms,type,seq,v1,v2,v3,v4,v5,v6
[13:57:08.762] 3411,ECG,61,24528,0,0,0,0,0
[13:57:08.762] 3411,ECG,62,24374,0,0,0,0,0
[13:57:08.793] 3411,ECG,63,24221,0,0,0,0,0
[13:57:08.808] 3416,ECG,64,24068,0,0,0,0,0
[13:57:08.808] 3416,ECG,65,23917,0,0,0,0,0
[13:57:08.840] 3421,ECG,66,23766,0,0,0,0,0
[13:57:08.871] 3421,ECG,67,23617,0,0,0,0,0
[13:57:08.871] 3421,ECG,68,23468,0,0,0,0,0
[13:57:08.887] 3426,ECG,69,23321,0,0,0,0,0
[13:57:08.888] 3426,ECG,70,23174,0,0,0,0,0
[13:57:08.918] 3431,ECG,71,23028,0,0,0,0,0
[13:57:08.950] 3431,ECG,72,22883,0,0,0,0,0
[13:57:08.951] 3431,ECG,73,22739,0,0,0,0,0
[13:57:08.966] 3436,ECG,74,22596,0,0,0,0,0
[13:57:08.966] 3436,ECG,75,22454,0,0,0,0,0
[13:57:08.997] 3441,ECG,76,22313,0,0,0,0,0
[13:57:09.030] 3441,ECG,77,22172,0,0,0,0,0
[13:57:09.031] 3441,ECG,78,22033,0,0,0,0,0
[13:57:09.046] 3446,ECG,79,21894,0,0,0,0,0
[13:57:09.046] 3446,ECG,80,21756,0,0,0,0,0
[13:57:09.078] 3446,ECG,81,21619,0,0,0,0,0
[13:57:09.094] 3451,ECG,82,21483,0,0,0,0,0
[13:57:09.094] 3451,ECG,83,21348,0,0,0,0,0
[13:57:09.125] 3456,ECG,84,21214,0,0,0,0,0
[13:57:09.125] 3456,ECG,85,21080,0,0,0,0,0
[13:57:09.156] 3456,ECG,86,20948,0,0,0,0,0
[13:57:09.171] 3461,ECG,87,20816,0,0,0,0,0
[13:57:09.171] 3461,ECG,88,20685,0,0,0,0,0
[13:57:09.203] 3466,ECG,89,20555,0,0,0,0,0
[13:57:09.203] 3466,ECG,90,20425,0,0,0,0,0
[13:57:09.235] 3466,ECG,91,20297,0,0,0,0,0
[13:57:09.313] 3471,ECG,92,20169,0,0,0,0,0
[13:57:09.315] 3471,ECG,93,20042,0,0,0,0,0
[13:57:09.315] 3476,ECG,94,19916,0,0,0,0,0
[13:57:09.316] 3476,ECG,95,19790,0,0,0,0,0
[13:57:09.316] 3476,ECG,96,19666,0,0,0,0,0
[13:57:09.333] 3481,ECG,97,19542,0,0,0,0,0
[13:57:09.334] 3481,ECG,98,19419,0,0,0,0,0
[13:57:09.359] 3486,ECG,99,19297,0,0,0,0,0
[13:57:09.359] 3486,ECG,100,19175,0,0,0,0,0
[13:57:09.390] 3486,ECG,101,19055,0,0,0,0,0
[13:57:09.405] 3491,ECG,102,18935,0,0,0,0,0
[13:57:09.405] 3491,ECG,103,18815,0,0,0,0,0
[13:57:09.437] 3496,ECG,104,18697,0,0,0,0,0
[13:57:09.468] 3496,ECG,105,18579,0,0,0,0,0
[13:57:09.469] 3496,ECG,106,18462,0,0,0,0,0
[13:57:09.483] 3501,ECG,107,18346,0,0,0,0,0
[13:57:09.484] 3501,ECG,108,18230,0,0,0,0,0
[13:57:09.514] 3501,ECG,109,18116,0,0,0,0,0
[13:57:09.545] 3506,ECG,110,18002,0,0,0,0,0
[13:57:09.546] 3506,ECG,111,17888,0,0,0,0,0
[13:57:09.577] 3511,ECG,112,17775,0,0,0,0,0
[13:57:09.592] 3511,ECG,113,17663,0,0,0,0,0
[13:57:09.592] 3511,ECG,114,17552,0,0,0,0,0
[13:57:09.623] 3516,ECG,115,17442,0,0,0,0,0
[13:57:09.623] 3516,ECG,116,17332,0,0,0,0,0
[13:57:09.654] 3521,ECG,117,17222,0,0,0,0,0
[13:57:09.670] 3521,ECG,118,17114,0,0,0,0,0
[13:57:09.670] 3521,ECG,119,17007,0,0,0,0,0
[13:57:09.700] 3526,ECG,120,16897,0,0,0,0,0
[13:57:09.731] 3526,ECG,121,16794,0,0,0,0,0
[13:57:09.731] 3531,ECG,122,16687,0,0,0,0,0
