timestamp_ms,type,seq,v1,v2,v3,v4,v5,v6
6753,META_START,10,5709,0,0,0,0,0
7853,ECG,0,0,0,0,0,0,0
7853,ECG,1,-1,0,0,0,0,0
7853,ECG,2,-6,0,0,0,0,0
7853,ECG,3,2,0,0,0,0,0
7853,ECG,4,6,0,0,0,0,0
7862,ECG,5,-17,0,0,0,0,0
7862,ECG,6,39,0,0,0,0,0
7862,ECG,7,-16,0,0,0,0,0
7862,ECG,8,-28,0,0,0,0,0
7870,ECG,9,153,0,0,0,0,0
7870,ECG,10,-758,0,0,0,0,0
7870,ECG,11,-2110,0,0,0,0,0
7870,ECG,12,-1839,0,0,0,0,0
7878,ECG,13,3442,0,0,0,0,0
7878,ECG,14,8889,0,0,0,0,0
7878,ECG,15,15184,0,0,0,0,0
7879,ECG,16,21542,0,0,0,0,0
7886,ECG,17,27108,0,0,0,0,0
7886,ECG,18,30818,0,0,0,0,0
7886,ECG,19,32016,0,0,0,0,0
7894,ECG,20,31614,0,0,0,0,0
7894,ECG,21,30908,0,0,0,0,0
7894,ECG,22,30940,0,0,0,0,0
7894,ECG,23,30921,0,0,0,0,0
7902,ECG,24,30705,0,0,0,0,0
7902,ECG,25,30584,0,0,0,0,0
7902,ECG,26,30143,0,0,0,0,0
7902,ECG,27,29804,0,0,0,0,0
7910,ECG,28,29646,0,0,0,0,0
7910,ECG,29,29471,0,0,0,0,0
7910,ECG,30,29378,0,0,0,0,0
7910,ECG,31,29318,0,0,0,0,0
7918,ECG,32,29207,0,0,0,0,0
7918,ECG,33,29140,0,0,0,0,0
7918,ECG,34,28963,0,0,0,0,0
7918,ECG,35,28758,0,0,0,0,0
7926,ECG,36,28531,0,0,0,0,0
7926,ECG,37,28358,0,0,0,0,0
7926,ECG,38,28147,0,0,0,0,0
7926,ECG,39,27968,0,0,0,0,0
7934,ECG,40,27765,0,0,0,0,0
7934,ECG,41,27621,0,0,0,0,0
7934,ECG,42,27542,0,0,0,0,0
7934,ECG,43,27342,0,0,0,0,0
7942,ECG,44,27057,0,0,0,0,0
7942,ECG,45,26811,0,0,0,0,0
7942,ECG,46,26522,0,0,0,0,0
7942,ECG,47,26232,0,0,0,0,0
7950,ECG,48,26021,0,0,0,0,0
7950,ECG,49,25884,0,0,0,0,0
7950,ECG,50,25810,0,0,0,0,0
7950,ECG,51,25790,0,0,0,0,0
7958,ECG,52,25725,0,0,0,0,0
7958,ECG,53,25677,0,0,0,0,0
7958,ECG,54,25553,0,0,0,0,0
7958,ECG,55,25392,0,0,0,0,0
7966,ECG,56,25152,0,0,0,0,0
7966,ECG,57,24986,0,0,0,0,0
7966,ECG,58,24779,0,0,0,0,0
7966,ECG,59,24573,0,0,0,0,0
7974,ECG,60,24249,0,0,0,0,0
7974,ECG,61,24121,0,0,0,0,0
7974,ECG,62,24019,0,0,0,0,0
7975,ECG,63,23908,0,0,0,0,0
7982,ECG,64,23788,0,0,0,0,0
7982,ECG,65,23697,0,0,0,0,0
7982,ECG,66,23548,0,0,0,0,0
7990,ECG,67,23171,0,0,0,0,0
7990,ECG,68,23014,0,0,0,0,0
7990,ECG,69,22842,0,0,0,0,0
7990,ECG,70,22653,0,0,0,0,0
7998,ECG,71,22470,0,0,0,0,0
7998,ECG,72,22329,0,0,0,0,0
7998,ECG,73,22207,0,0,0,0,0
7998,ECG,74,22055,0,0,0,0,0
8006,ECG,75,21909,0,0,0,0,0
8006,ECG,76,21790,0,0,0,0,0
8006,ECG,77,21657,0,0,0,0,0
8006,ECG,78,21507,0,0,0,0,0
8014,ECG,79,21371,0,0,0,0,0
8014,ECG,80,21320,0,0,0,0,0
8014,ECG,81,21266,0,0,0,0,0
