timestamp_ms,type,seq,v1,v2,v3,v4,v5,v6
17772,META_START,1,16727,0,0,0,0,0
18935,ECG,0,0,0,0,0,0,0
18935,ECG,1,-1,0,0,0,0,0
18935,ECG,2,-6,0,0,0,0,0
18935,ECG,3,2,0,0,0,0,0
18940,ECG,4,6,0,0,0,0,0
18940,ECG,5,-17,0,0,0,0,0
18940,ECG,6,38,0,0,0,0,0
18945,ECG,7,-16,0,0,0,0,0
18945,ECG,8,-26,0,0,0,0,0
18950,ECG,9,151,0,0,0,0,0
18950,ECG,10,-753,0,0,0,0,0
18950,ECG,11,-2109,0,0,0,0,0
18955,ECG,12,-1850,0,0,0,0,0
18955,ECG,13,-36,0,0,0,0,0
18960,ECG,14,8729,0,0,0,0,0
18960,ECG,15,15156,0,0,0,0,0
18965,ECG,16,21689,0,0,0,0,0
18965,ECG,17,27397,0,0,0,0,0
18970,ECG,18,32011,0,0,0,0,0
18970,ECG,19,31810,0,0,0,0,0
18975,ECG,20,31610,0,0,0,0,0
18975,ECG,21,31343,0,0,0,0,0
18975,ECG,22,31109,0,0,0,0,0
18980,ECG,23,31019,0,0,0,0,0
18980,ECG,24,30731,0,0,0,0,0
18985,ECG,25,30591,0,0,0,0,0
18985,ECG,26,30395,0,0,0,0,0
18985,ECG,27,30195,0,0,0,0,0
18990,ECG,28,30019,0,0,0,0,0
18990,ECG,29,29827,0,0,0,0,0
18995,ECG,30,29451,0,0,0,0,0
18995,ECG,31,29266,0,0,0,0,0
19000,ECG,32,29082,0,0,0,0,0
19000,ECG,33,28900,0,0,0,0,0
19001,ECG,34,28718,0,0,0,0,0
19005,ECG,35,28537,0,0,0,0,0
19005,ECG,36,28358,0,0,0,0,0
19010,ECG,37,28180,0,0,0,0,0
19010,ECG,38,28002,0,0,0,0,0
19010,ECG,39,27826,0,0,0,0,0
19015,ECG,40,27651,0,0,0,0,0
19015,ECG,41,27478,0,0,0,0,0
19020,ECG,42,27305,0,0,0,0,0
19020,ECG,43,27133,0,0,0,0,0
19020,ECG,44,26963,0,0,0,0,0
19025,ECG,45,26793,0,0,0,0,0
19025,ECG,46,26625,0,0,0,0,0
19030,ECG,47,26457,0,0,0,0,0
19030,ECG,48,26291,0,0,0,0,0
19030,ECG,49,26126,0,0,0,0,0
19035,ECG,50,25961,0,0,0,0,0
19035,ECG,51,25798,0,0,0,0,0
19040,ECG,52,25475,0,0,0,0,0
19040,ECG,53,25314,0,0,0,0,0
19045,ECG,54,25155,0,0,0,0,0
19045,ECG,55,24997,0,0,0,0,0
19050,ECG,56,24683,0,0,0,0,0
19050,ECG,57,24528,0,0,0,0,0
19055,ECG,58,24374,0,0,0,0,0
19055,ECG,59,24221,0,0,0,0,0
19055,ECG,60,24068,0,0,0,0,0
19060,ECG,61,23917,0,0,0,0,0
19060,ECG,62,23766,0,0,0,0,0
19065,ECG,63,23617,0,0,0,0,0
19065,ECG,64,23468,0,0,0,0,0
19065,ECG,65,23321,0,0,0,0,0
19070,ECG,66,23174,0,0,0,0,0
19070,ECG,67,23028,0,0,0,0,0
19075,ECG,68,22739,0,0,0,0,0
19075,ECG,69,22596,0,0,0,0,0
19080,ECG,70,22454,0,0,0,0,0
19080,ECG,71,22313,0,0,0,0,0
19081,ECG,72,22172,0,0,0,0,0
19085,ECG,73,22033,0,0,0,0,0
19085,ECG,74,21894,0,0,0,0,0
19090,ECG,75,21756,0,0,0,0,0
19090,ECG,76,21619,0,0,0,0,0
19090,ECG,77,21483,0,0,0,0,0
19095,ECG,78,21348,0,0,0,0,0
19095,ECG,79,21214,0,0,0,0,0
19100,ECG,80,21080,0,0,0,0,0
19100,ECG,81,20948,0,0,0,0,0
19100,ECG,82,20816,0,0,0,0,0
19105,ECG,83,20685,0,0,0,0,0
19105,ECG,84,20555,0,0,0,0,0
